p_b_ratio,p_e_ratio,eps_diluted,next_price
7.67,42.53,0.83,2
9.44,49.08,0.95,1
11.05,43.05,0.79,2
13.2,45.83,0.92,2
0.0,0.0,0.0,0
5.13,0.0,0.0,2
5.51,0.0,0.0,2
6.02,19.6,0.0,2
5.94,20.07,0.0,2
6.46,21.56,0.0,2
7.68,26.21,0.0,1
7.69,26.67,0.0,2
7.85,26.47,0.0,2
8.41,29.94,0.0,2
9.34,33.04,0.0,1
10.49,36.07,0.0,2
13.77,47.75,0.53,2
17.4,59.61,0.47,1
17.9,54.52,1.06,2
18.65,49.81,0.62,0
16.3,40.23,0.18,0
16.4,50.99,0.25,2
14.71,41.6,0.31,2
15.5,44.47,0.18,1
18.65,48.03,0.21,0
15.84,53.84,0.3,1
14.9,56.57,0.29,1
13.51,44.84,0.33,1
13.97,33.15,0.37,0
11.61,28.14,0.32,0
9.93,22.69,0.38,1
9.33,20.56,0.76,2
10.14,17.17,-0.48,1
3.6,30.53,0.29,2
4.23,56.56,0.3,1
3.98,199.22,0.38,0
3.65,30.88,0.44,0
2.95,22.47,0.37,1
2.82,17.3,0.04,1
2.97,19.89,0.22,1
2.83,23.14,0.56,1
2.54,14.98,0.33,2
2.71,17.26,0.46,1
2.59,9.73,0.48,1
2.57,10.22,0.18,1
2.51,10.1,0.11,0
2.32,19.05,0.41,0
1.94,17.58,0.41,1
1.88,13.96,0.34,0
1.77,12.54,0.4,2
1.59,11.92,0.34,1
1.67,13.87,0.43,1
1.67,14.63,0.25,1
1.47,14.51,0.11,1
1.56,22.17,0.35,2
1.74,18.72,0.28,0
1.66,17.56,0.48,2
2.0,17.14,0.24,1
2.01,18.17,0.43,1
2.22,17.72,0.43,2
2.4,13.9,0.38,1
2.51,13.94,1.98,1
2.44,7.93,0.39,2
2.62,9.97,0.36,1
2.52,9.85,0.45,1
2.45,18.61,0.42,2
2.86,23.4,0.38,1
3.14,23.87,0.42,1
3.0,23.03,0.34,1
3.14,29.59,0.49,2
3.42,31.27,0.21,1
3.28,28.06,0.51,1
3.38,27.81,0.51,1
